Rank,Title,Distributor,Domestic gross,Year
4,Jurassic World: Fallen Kingdom,Universal,"$417,719,760",2018
5,Aquaman,Warner Bros.,"$335,104,314",2018
6,Deadpool 2,20th Century Fox,"$318,491,426",2018
7,The Grinch,Universal,"$270,620,950",2018
8,Mission: Impossible – Fallout,Paramount,"$220,159,104",2018
9,Ant-Man and the Wasp,Disney,"$216,648,740",2018
10,Bohemian Rhapsody,20th Century Fox,"$216,428,042",2018
1,Avengers: Endgame,Disney,"$858,373,000",2019
2,The Lion King,Disney,"$543,638,043",2019
3,Star Wars: The Rise of Skywalker,Disney,"$515,202,542",2019
4,Frozen II,Disney,"$477,373,578",2019
5,Toy Story 4,Disney,"$434,038,008",2019
6,Captain Marvel,Disney,"$426,829,839",2019
7,Spider-Man: Far From Home,Sony,"$390,532,085",2019
8,Aladdin,Disney,"$355,559,216",2019
9,Joker,Warner Bros.,"$335,477,657",2019
10,Jumanji: The Next Level,Sony,"$320,314,960",2019
1,Bad Boys for Life,Sony,"$206,305,244",2020
2,Sonic the Hedgehog,Paramount,"$148,974,665",2020
3,Birds of Prey,Warner Bros.,"$84,172,791",2020
4,Dolittle,Universal,"$77,047,065",2020
5,The Invisible Man,Universal,"$70,410,000",2020
6,The Call of the Wild,20th Century,"$62,342,368",2020
7,Onward,Disney,"$61,555,145",2020
8,The Croods: A New Age,Universal,"$58,592,120",2020
9,Tenet,Warner Bros.,"$58,456,624",2020
10,Wonder Woman 1984,Warner Bros.,"$46,801,036",2020
1,Spider-Man: No Way Home,Sony,"$804,617,772",2021
2,Shang-Chi and the Legend of the Ten Rings,Disney,"$224,886,280",2021
3,Venom: Let There Be Carnage,Sony,"$213,550,366",2021
4,Black Widow,Disney,"$183,651,655",2021
5,F9,Universal,"$173,005,945",2021
6,Eternals,Disney,"$164,870,234",2021
7,Sing 2,Universal,"$162,790,990",2021
8,No Time to Die,MGM / Universal,"$160,891,007",2021
9,A Quiet Place Part II,Paramount,"$160,072,261",2021
10,Ghostbusters: Afterlife,Sony,"$129,360,575",2021
1,Top Gun: Maverick,Paramount,"$718,732,821",2022
2,Avatar: The Way of Water,20th Century / Disney,"$684,075,767",2022
3,Black Panther: Wakanda Forever,Disney,"$453,829,060",2022
4,Doctor Strange in the Multiverse of Madness,Disney,"$411,331,607",2022
5,Jurassic World Dominion,Universal,"$376,851,080",2022
6,Minions: The Rise of Gru,Universal,"$369,695,210",2022
7,The Batman,Warner Bros.,"$369,345,583",2022
8,Thor: Love and Thunder,Disney,"$343,256,830",2022
9,Sonic the Hedgehog 2,Paramount,"$190,872,904",2022
10,Puss in Boots: The Last Wish,Universal,"$185,535,345",2022
1,Barbie,Warner Bros.,"$636,236,401",2023
2,The Super Mario Bros. Movie,Universal,"$574,934,330",2023
3,Spider-Man: Across the Spider-Verse,Sony,"$381,593,754",2023
4,Guardians of the Galaxy Vol. 3,Disney,"$358,995,815",2023
5,Oppenheimer,Universal,"$329,862,540",2023
6,The Little Mermaid,Disney,"$298,172,056",2023
7,Wonka,Warner Bros.,"$218,377,073",2023
8,Ant-Man and the Wasp: Quantumania,Disney,"$214,506,909",2023
9,John Wick: Chapter 4,Lionsgate,"$187,131,806",2023
10,Sound of Freedom,Angel Studios,"$184,174,617",2023
